id;descricao;grupo_muscular;aparelho
1;Supino Reto;Peito;prancha peito reto
2;Puxada Baixa;Costas;puxador movel costas
3;Elevacao Frontal;Ombro;alter 20k
4;Maq. Posterior;Ombro;prancha ombro
5;Corrida;Aquecimento;Esteira
6;Supino declinado;Peito;prancha peito invertido
7;Remada Alta;Costas;puxador fixo costas
8;Empurrar Cochas;Perna;Leg Press
9;Pedalada;Aquecimento;Bicicleta Ergom�trica
10;Supino Inclinado;Peito;prancha peito inclinado
11;Cerrote;Costas;puxador sentado costas
12;Biceps;Braco;alter 10k
13;Panturrilha;Perna;Leg Press
14;crucifixo;Peito;crucifixo
15;Elevacao Lateral;Ombro;alter 10k
16;Triceps;Braco;alter 10k
17;Caminhada;Aquecimento;Esteira
